Data,Category,Ativos,ANR,Falhas,Views,Instalações,Visibility,Total Reviews,Rate,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,poisition,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão
2020-01-12,FINANCE,8269,-,8,,70,,,,157,53,20,20,161,411,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",48,-,126,150,37,24.7%
2020-01-13,FINANCE,8204,-,10,,103,,,,158,54,20,20,162,414,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",73,1,131,219,61,27.9%
2020-01-14,FINANCE,8184,-,18,,93,,,,157,49,20,20,166,412,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",63,-,144,233,49,21.0%
2020-01-15,FINANCE,8074,-,11,,142,,,,157,49,20,20,166,412,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",110,-,202,354,84,23.7%
2020-01-16,FINANCE,8072,-,8,,152,,,,158,49,20,20,166,413,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",127,5,173,509,118,23.2%
2020-01-17,FINANCE,8090,-,8,,147,,,,158,50,20,20,166,414,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",120,1,159,527,111,21.1%
2020-01-18,FINANCE,8036,-,7,,115,,,,166,50,20,20,158,414,"3,11",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",81,-,138,382,77,20.2%
2020-01-19,FINANCE,8011,-,5,,95,,,,162,50,20,20,162,414,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",78,-,125,346,78,22.5%
2020-01-20,FINANCE,8023,-,12,,182,,,,162,50,20,20,162,414,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",154,-,163,632,143,22.6%
2020-01-21,FINANCE,8036,-,5,,191,,,,162,50,20,20,162,414,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",156,5,167,745,136,18.3%
2020-01-22,FINANCE,8007,-,8,,156,,,,163,50,20,20,163,416,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",126,1,191,585,117,20.0%
2020-01-23,FINANCE,7962,-,13,,175,,,,163,50,20,20,163,416,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",134,-,168,637,123,19.3%
2020-01-24,FINANCE,7950,-,11,,75,,,,163,50,20,20,163,416,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",53,-,135,135,32,23.7%
2020-01-25,FINANCE,7854,-,9,,48,,,,163,50,20,20,163,416,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",31,-,102,75,22,29.3%
2020-01-26,FINANCE,7833,-,7,,59,,,,163,50,20,20,163,416,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",39,-,90,98,32,32.7%
2020-01-27,FINANCE,7779,-,4,,67,,,,163,50,20,20,163,416,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",44,1,130,107,33,30.8%
2020-01-28,FINANCE,7704,-,8,,71,,,,164,50,21,21,164,420,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",48,-,117,132,36,27.3%
2020-01-29,FINANCE,7693,-,4,,117,,,,160,50,21,21,168,420,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",78,5,126,282,60,21.3%
2020-01-30,FINANCE,7690,1,8,,102,,,,164,50,21,16,168,419,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",77,1,135,365,75,20.5%
2020-01-31,FINANCE,7733,2,9,,155,,,,169,50,21,16,164,420,"3,1",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",120,-,121,426,101,23.7%
2020-02-01,FINANCE,7692,-,2,,92,,,,169,50,16,16,169,420,"3,08",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",65,-,102,329,59,17.9%
2020-02-02,FINANCE,7688,-,3,,94,,,,169,50,16,16,169,420,"3,08",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",65,1,110,231,42,18.2%
2020-02-03,FINANCE,7675,-,8,,113,,,,169,50,16,16,169,420,"3,08",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",85,-,110,385,79,20.5%
2020-02-04,FINANCE,7690,-,7,,103,,,,169,50,16,12,173,420,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",82,-,103,372,77,20.7%
2020-02-05,FINANCE,7671,-,8,,86,,,,169,50,16,12,173,420,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",75,-,101,277,56,20.2%
2020-02-06,FINANCE,7642,-,4,,102,,,,169,50,16,12,173,420,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",88,5,125,260,66,25.4%
2020-02-07,FINANCE,7623,-,7,,89,,,,169,50,16,12,173,420,"3,07",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",63,"3,5",120,289,64,22.1%
2020-02-08,FINANCE,7603,1,2,,88,,,,174,46,17,12,174,423,"3,08",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",59,-,92,219,37,16.9%
2020-02-09,FINANCE,7564,-,4,,85,,,,174,46,17,17,170,424,"3,09",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",61,-,113,192,39,20.3%
2020-02-10,FINANCE,7543,-,4,,130,,,,174,46,17,17,170,424,"3,09",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",94,-,137,394,88,22.3%
2020-02-11,FINANCE,7563,-,5,,140,,,,174,46,17,17,170,424,"3,09",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",111,-,133,417,103,24.7%
2020-02-12,FINANCE,7568,-,16,,144,,,,174,46,17,17,170,424,"3,09",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",111,2,132,368,105,28.5%
2020-02-13,FINANCE,7548,-,6,,125,,,,175,47,17,17,171,427,"3,09",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",100,-,132,309,77,24.9%
2020-02-14,FINANCE,7549,-,13,,108,,,,175,47,17,17,171,427,"3,09",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",85,-,137,265,58,21.9%
2020-02-15,FINANCE,7494,-,3,,68,,,,166,47,21,17,175,426,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",48,-,125,185,35,18.9%
2020-02-16,FINANCE,7443,-,3,,57,,,,166,46,21,17,175,425,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",41,-,111,179,23,12.8%
2020-02-17,FINANCE,7364,-,4,,98,,,,166,46,21,17,175,425,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",76,-,135,254,58,22.8%
2020-02-18,FINANCE,7317,-,4,,104,,,,166,46,21,17,175,425,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",79,-,123,360,75,20.8%
2020-02-19,FINANCE,7383,-,12,,137,,,,166,46,21,17,175,425,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",120,-,118,361,102,28.3%
2020-02-20,FINANCE,7346,-,4,,94,,,,167,47,21,17,175,427,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",66,-,115,239,40,16.7%
2020-02-21,FINANCE,7321,-,8,,97,,,,167,47,21,17,175,427,"3,03",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",58,-,98,213,34,16.0%
2020-02-22,FINANCE,7296,-,-,,64,,,,167,51,21,17,171,427,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",43,-,91,171,29,17.0%
2020-02-23,FINANCE,7261,-,-,,68,,,,167,51,21,17,171,427,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",48,-,87,155,26,16.8%
2020-02-24,FINANCE,7272,-,3,,78,,,,167,51,21,17,172,428,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",61,1,95,353,60,17.0%
2020-02-25,FINANCE,7230,-,4,,72,,,,168,51,21,17,172,429,"3,06",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",54,-,89,209,34,16.3%
2020-02-26,FINANCE,7231,1,3,,130,,,,163,51,21,12,181,428,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",103,-,120,343,81,23.6%
2020-02-27,FINANCE,7238,-,5,,136,,,,163,51,21,12,181,428,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",113,-,141,418,96,23.0%
2020-02-28,FINANCE,7240,-,10,,144,,,,163,51,21,12,181,428,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",120,1,140,418,104,24.9%
2020-02-29,FINANCE,7261,-,2,,125,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",89,-,119,376,76,20.2%
2020-03-01,FINANCE,7233,-,7,,91,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",81,-,106,346,71,20.5%
2020-03-02,FINANCE,7202,-,11,,144,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",123,-,140,466,113,24.2%
2020-03-03,FINANCE,7255,-,7,,107,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",92,-,99,365,73,20.0%
2020-03-04,FINANCE,7183,-,3,,102,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",80,5,141,314,55,17.5%
2020-03-05,FINANCE,7166,1,8,,144,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",108,-,163,427,99,23.2%
2020-03-06,FINANCE,7133,1,2,,124,,,,164,51,21,12,181,429,"3,01",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",100,-,128,345,84,24.3%
2020-03-07,FINANCE,7121,-,2,,63,,,,168,51,21,12,177,429,"3,05",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",51,-,99,216,30,13.9%
2020-03-08,FINANCE,7097,-,3,,72,,,,168,51,21,12,177,429,"3,05",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",52,-,98,220,30,13.6%
2020-03-09,FINANCE,7092,1,3,,95,,,,168,51,21,12,177,429,"3,05",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",80,-,107,385,83,21.6%
2020-03-10,FINANCE,7062,-,5,,122,,,,168,51,21,12,177,429,"3,05",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",94,-,136,475,91,19.2%
2020-03-11,FINANCE,7057,-,3,,103,,,,168,51,21,12,177,429,"3,05",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",76,4,95,402,74,18.4%
2020-03-12,FINANCE,7063,-,5,,125,,,,168,51,21,12,177,429,"3,05",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",101,-,133,388,85,21.9%
2020-03-13,FINANCE,7061,-,1,,102,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",84,-,106,403,74,18.4%
2020-03-14,FINANCE,7046,-,3,,101,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",68,-,98,344,58,16.9%
2020-03-15,FINANCE,6993,-,2,,79,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",66,-,108,307,60,19.5%
2020-03-16,FINANCE,6971,-,8,,104,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",84,-,115,410,73,17.8%
2020-03-17,FINANCE,6993,1,1,,125,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",93,-,121,449,80,17.8%
2020-03-18,FINANCE,6977,-,5,,102,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",81,-,104,354,70,19.8%
2020-03-19,FINANCE,6961,-,4,,138,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",116,-,125,457,103,22.5%
2020-03-20,FINANCE,6957,-,4,,147,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",112,1,155,432,100,23.1%
2020-03-21,FINANCE,6938,-,1,,132,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",105,-,161,423,89,21.0%
2020-03-22,FINANCE,6905,-,17,,117,,,,164,56,21,12,177,430,"3,04",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",90,1,147,373,83,22.3%
2020-03-23,FINANCE,6983,1,11,,261,,,,160,56,21,13,182,432,3,200+,"Conta Digital Ewally: Para cobrar, pagar e receber",214,-,184,927,208,22.4%
2020-03-24,FINANCE,7095,-,14,,366,,,,160,56,21,13,182,432,3,200+,"Conta Digital Ewally: Para cobrar, pagar e receber",333,5,231,1046,306,29.3%
2020-03-25,FINANCE,7152,-,4,,261,,,,156,56,21,13,186,432,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",208,-,225,772,198,25.6%
2020-03-26,FINANCE,7322,-,14,,510,,,,156,56,21,13,186,432,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",472,5,339,1519,443,29.2%
2020-03-27,FINANCE,7268,-,10,,196,,,,160,52,21,13,187,433,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",172,-,242,639,160,25.0%
2020-03-28,FINANCE,7239,-,6,,127,,,,160,52,21,13,187,433,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",109,1,143,377,96,25.5%
2020-03-29,FINANCE,7170,-,8,,92,,,,161,52,21,13,187,434,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",59,-,133,307,51,16.6%
2020-03-30,FINANCE,7244,-,9,,313,,,,161,52,21,13,187,434,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",268,"3,67",243,935,263,28.1%
2020-03-31,FINANCE,7256,-,9,,229,,,,162,52,21,13,188,436,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",202,5,198,734,176,24.0%
2020-04-01,FINANCE,7275,-,14,,208,,,,163,52,22,13,189,439,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",172,-,188,734,158,21.5%
2020-04-02,FINANCE,7282,-,11,,221,,,,167,48,22,13,189,439,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",190,-,217,805,176,21.9%
2020-04-03,FINANCE,7238,-,3,,136,,,,167,48,22,13,189,439,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",103,-,160,422,89,21.1%
2020-04-04,FINANCE,7236,-,5,,119,,,,167,48,22,13,189,439,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",91,-,150,429,76,17.7%
2020-04-05,FINANCE,7196,-,5,,120,,,,167,48,22,13,189,439,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",92,-,142,409,86,21.0%
2020-04-06,FINANCE,7185,-,18,,140,,,,167,48,22,13,189,439,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",125,4,153,516,112,21.7%
2020-04-07,FINANCE,7133,-,12,,183,,,,167,48,22,13,189,439,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",147,1,197,582,131,22.5%
2020-04-08,FINANCE,7180,-,7,,186,,,,163,52,22,13,189,439,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",150,-,189,898,133,14.8%
2020-04-09,FINANCE,7129,-,14,,157,,,,163,52,22,13,189,439,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",117,3,168,723,110,15.2%
2020-04-10,FINANCE,7105,-,6,,115,,,,163,53,22,13,190,441,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",90,-,144,450,73,16.2%
2020-04-11,FINANCE,7086,-,5,,116,,,,163,53,22,13,190,441,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",89,-,145,646,79,12.2%
2020-04-12,FINANCE,7076,-,3,,103,,,,159,53,22,13,194,441,"2,93",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",81,-,111,604,60,9.9%
2020-04-13,FINANCE,7084,-,12,,190,,,,159,53,22,13,194,441,"2,93",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",159,-,168,1015,132,13.0%
2020-04-14,FINANCE,7102,-,15,,186,,,,159,53,22,13,194,441,"2,93",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",156,5,162,943,136,14.4%
2020-04-15,FINANCE,7141,-,6,,209,,,,159,53,22,13,195,442,"2,93",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",172,-,168,1059,162,15.3%
2020-04-16,FINANCE,7143,-,2,,197,,,,164,53,22,13,190,442,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",157,-,210,834,137,16.4%
2020-04-17,FINANCE,7085,1,4,,203,,,,164,53,22,13,191,443,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",161,-,211,778,139,17.9%
2020-04-18,FINANCE,7091,-,9,,178,,,,164,53,22,13,191,443,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",139,-,204,763,125,16.4%
2020-04-19,FINANCE,7049,-,3,,127,,,,160,53,22,17,191,443,"2,94",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",99,-,173,678,90,13.3%
2020-04-20,FINANCE,7077,-,13,,251,,,,160,53,22,17,191,443,"2,94",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",215,3,218,1057,207,19.6%
2020-04-21,FINANCE,7079,-,7,,227,,,,160,53,22,17,192,444,"2,94",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",189,2,205,1089,174,16.0%
2020-04-22,FINANCE,7093,-,6,,249,,,,161,53,22,17,193,446,"2,94",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",203,1,242,1051,194,18.5%
2020-04-23,FINANCE,6843,-,9,,247,,,,162,54,22,22,189,449,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",210,5,245,1127,195,17.3%
2020-04-24,FINANCE,6834,-,32,,274,,,,162,58,13,22,194,449,"2,94",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",236,4,291,1099,224,20.4%
2020-04-25,FINANCE,7036,-,11,,226,,,,167,49,13,27,194,450,"2,93",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",192,5,236,919,182,19.8%
2020-04-26,FINANCE,7031,-,8,,202,,,,167,54,13,22,194,450,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",160,3,184,886,149,16.8%
2020-04-27,FINANCE,6833,-,8,,298,,,,172,54,13,22,190,451,"2,99",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",250,1,264,1119,238,21.3%
2020-04-28,FINANCE,6855,-,13,,309,,,,167,54,18,22,190,451,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",253,-,290,1045,243,23.3%
2020-04-29,FINANCE,6864,-,8,,235,,,,167,54,18,18,195,452,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",192,5,226,1092,175,16.0%
2020-04-30,FINANCE,6854,-,7,,238,,,,168,54,18,18,195,453,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",199,-,247,963,183,19.0%
2020-05-01,FINANCE,6865,-,5,,178,,,,168,54,18,18,195,453,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",153,-,169,803,145,18.1%
2020-05-02,FINANCE,6850,-,14,,167,,,,168,54,18,18,195,453,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",127,-,185,764,124,16.2%
2020-05-03,FINANCE,6801,-,6,,119,,,,168,54,18,18,195,453,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",98,-,158,672,95,14.1%
2020-05-04,FINANCE,6793,-,7,,217,,,,168,54,18,18,195,453,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",164,-,214,962,154,16.0%
2020-05-05,FINANCE,6816,1,11,,229,,,,168,54,18,18,195,453,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",176,5,207,920,161,17.5%
2020-05-06,FINANCE,6822,-,10,,257,,,,168,54,18,18,196,454,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",146,3,235,845,129,15.3%
2020-05-07,FINANCE,6825,1,9,,200,,,,169,54,18,18,196,455,"2,96",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",127,5,193,782,121,15.5%
2020-05-08,FINANCE,6834,-,5,,172,,,,165,55,22,18,197,457,"2,94",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",136,-,165,852,124,14.6%
2020-05-09,FINANCE,6842,-,5,,166,,,,170,50,23,18,198,459,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",122,-,155,715,120,16.8%
2020-05-10,FINANCE,6817,-,1,,113,,,,170,50,23,18,198,459,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",87,-,139,545,79,14.5%
2020-05-11,FINANCE,6829,-,3,,204,,,,165,50,23,18,202,458,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",168,5,176,1079,160,14.8%
2020-05-12,FINANCE,6802,-,12,,198,,,,165,50,23,18,202,458,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",149,3,210,866,125,14.4%
2020-05-13,FINANCE,6839,-,9,,225,,,,171,50,23,18,199,461,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",137,5,195,833,128,15.4%
2020-05-14,FINANCE,6796,-,6,,161,,,,171,46,23,13,208,461,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",103,-,173,759,94,12.4%
2020-05-15,FINANCE,6754,-,6,,173,,,,171,46,23,13,208,461,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",115,-,199,703,114,16.2%
2020-05-16,FINANCE,6727,-,7,,132,,,,171,46,23,13,208,461,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",85,-,155,607,78,12.9%
2020-05-17,FINANCE,6717,-,6,,118,,,,171,46,23,13,208,461,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",86,-,136,584,69,11.8%
2020-05-18,FINANCE,6749,-,8,,214,,,,172,46,23,13,209,463,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",175,1,193,1009,172,17.0%
2020-05-19,FINANCE,6732,-,15,,205,,,,172,46,23,13,209,463,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",162,-,196,1160,149,12.8%
2020-05-20,FINANCE,6770,-,12,,286,,,,172,46,23,13,209,463,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",238,3,256,1697,231,13.6%
2020-05-21,FINANCE,6804,1,7,,335,,,,172,46,23,14,210,465,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",304,3,309,1954,279,14.3%
2020-05-22,FINANCE,6862,-,11,,377,,,,168,46,23,14,214,465,"2,87",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",312,-,305,2044,294,14.4%
2020-05-23,FINANCE,6898,-,5,,282,,,,168,46,23,14,215,466,"2,87",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",243,-,228,1534,223,14.5%
2020-05-24,FINANCE,6896,-,6,,191,,,,163,46,28,14,215,466,"2,85",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",157,-,205,1165,152,13.0%
2020-05-25,FINANCE,6929,-,13,,351,,,,163,46,28,14,215,466,"2,85",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",300,-,313,2014,293,14.5%
2020-05-26,FINANCE,6955,-,9,,364,,,,163,46,28,14,215,466,"2,85",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",322,5,322,1970,301,15.3%
2020-05-27,FINANCE,6934,-,16,,268,,,,163,46,28,14,215,466,"2,85",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",231,-,287,1533,210,13.7%
2020-05-28,FINANCE,7041,-,10,,377,,,,164,46,28,14,215,467,"2,85",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",260,3,260,1409,237,16.8%
2020-05-29,FINANCE,7017,-,3,,245,,,,169,47,28,14,211,469,"2,89",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",172,-,254,1225,161,13.1%
2020-05-30,FINANCE,7033,-,6,,203,,,,169,47,28,14,211,469,"2,89",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",166,-,201,973,158,16.2%
2020-05-31,FINANCE,7037,-,10,,196,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",173,-,198,1228,159,12.9%
2020-06-01,FINANCE,7061,-,14,,307,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",273,-,284,1870,249,13.3%
2020-06-02,FINANCE,7058,-,5,,268,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",193,-,243,1320,185,14.0%
2020-06-03,FINANCE,7043,-,10,,240,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",211,-,228,1570,195,12.4%
2020-06-04,FINANCE,7092,-,1,,215,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",179,-,211,1280,176,13.8%
2020-06-05,FINANCE,7055,-,6,,187,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",158,-,207,1125,154,13.7%
2020-06-06,FINANCE,7048,-,5,,130,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",102,-,137,774,95,12.3%
2020-06-07,FINANCE,7027,-,6,,127,,,,169,42,32,14,211,468,"2,88",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",103,-,151,740,96,13.0%
2020-06-08,FINANCE,7060,1,15,,220,,,,170,47,33,14,208,472,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",174,4,207,1248,172,13.8%
2020-06-09,FINANCE,7057,2,3,,233,,,,175,47,33,14,203,472,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",194,3,219,1228,183,14.9%
2020-06-10,FINANCE,7062,1,5,,201,,,,180,47,28,14,203,472,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",159,5,189,951,145,15.2%
2020-06-11,FINANCE,7049,-,1,,137,,,,180,47,28,14,204,473,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",112,-,164,682,102,15.0%
2020-06-12,FINANCE,7012,-,5,,140,,,,185,42,28,14,204,473,"2,98",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",110,-,160,606,102,16.8%
2020-06-13,FINANCE,7034,-,5,,131,,,,180,47,28,14,203,472,"2,97",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",110,-,138,674,99,14.7%
2020-06-14,FINANCE,7185,-,7,,158,,,,180,42,28,19,204,473,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",130,-,182,699,126,18.0%
2020-06-15,FINANCE,7230,-,7,,282,,,,180,42,28,19,204,473,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",243,2,233,1209,234,19.4%
2020-06-16,FINANCE,7269,1,2,,278,,,,181,42,28,19,205,475,"2,95",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",221,5,234,1351,210,15.5%
2020-06-17,FINANCE,7286,-,2,,309,,,,176,42,28,19,209,474,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",266,-,289,1513,246,16.3%
2020-06-18,FINANCE,7292,1,9,,248,,,,176,42,28,19,209,474,"2,91",200+,"Conta Digital Ewally: Para cobrar, pagar e receber",201,1,224,1257,192,15.3%
